ROAD_CLASS,DISTRICT,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,DIVISION
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,Major,South,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Normal,D41
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,15 to 19,Major,North,Bicycle,Going Ahead,Driving Properly,Normal,D41
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Fatal,Approaching,Driver,30 to 34,Major,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Fatal,Approaching,Driver,15 to 19,Fatal,South,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,D55
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,Major,East,Other,Going Ahead,Driving Properly,Normal,D22
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D22
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,South,Other,Going Ahead,Driving Properly,Normal,D22
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,Major,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D31
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,5 to 9,Major,East,Other,Going Ahead,Driving Properly,Normal,D31
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,20 to 24,Minimal,East,"Automobile, Station Wagon",Going Ahead,Lost control,Inattentive,D31
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,20 to 24,Major,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D31
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,Major,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,40 to 44,Major,North,Bicycle,Going Ahead,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,School Guard,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,70 to 74,Minimal,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,D53
Major Arterial,Toronto and East York,At Intersection,School Guard,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,Major,East,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,75 to 79,Major,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,D42
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,50 to 54,Major,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D42
Minor Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Minor Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,30 to 34,Major,East,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,D55
Minor Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,60 to 64,Major,East,"Automobile, Station Wagon",Parked,Other,Normal,D55
Minor Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,East,Bicycle,Going Ahead,Driving Properly,Normal,D55
Major Arterial,North York,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Angle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,North York,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Angle,Truck Driver,35 to 39,Major,East,Truck - Open,Going Ahead,Failed to Yield Right of Way,Normal,D53
Major Arterial,North York,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Angle,Passenger,35 to 39,Minor,East,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,North York,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Angle,Driver,35 to 39,Minor,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D53
Major Arterial,North York,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Angle,Passenger,20 to 24,Minor,East,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,North York,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Angle,Driver,20 to 24,Fatal,North,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Normal,D53
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Passenger,20 to 24,Fatal,East,Other,Going Ahead,Driving Properly,Normal,D53
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D53
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Driver,20 to 24,Minimal,South,"Automobile, Station Wagon",Turning Left,Improper Turn,Unknown,D53
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Passenger,40 to 44,Minor,East,Other,Going Ahead,Driving Properly,Normal,D53
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Driver,35 to 39,Minimal,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D53
Minor Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,Major,East,"Automobile, Station Wagon",Turning Right,Driving Properly,Normal,D41
Minor Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,55 to 59,Major,North,Bicycle,Unknown,Driving Properly,Normal,D41
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D13
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Truck Driver,30 to 34,Major,North,Truck - Open,Going Ahead,Driving Properly,Normal,D13
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D13
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,30 to 34,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,D13
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Other,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D13
Major Arterial,Toronto and East York,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,75 to 79,Major,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,D55
Major Arterial,Toronto and East York,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,East,Bicycle,Going Ahead,Driving Properly,Normal,D55
Minor Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,15 to 19,Major,South,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol",D55
Minor Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Driver,75 to 79,Major,West,"Automobile, Station Wagon",Reversing,Lost control,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,North,Other,Going Ahead,Driving Properly,Normal,NSA
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Truck Driver,60 to 64,Major,East,Truck - Open,Going Ahead,Driving Properly,Normal,NSA
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,North,Other,Going Ahead,Driving Properly,Normal,NSA
Minor Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,75 to 79,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Minor Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D41
Minor Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,Major,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,D41
Minor Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,East,Other,Going Ahead,Driving Properly,Normal,D41
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,50 to 54,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,30 to 34,Major,West,"Automobile, Station Wagon",Going Ahead,Lost control,Normal,D23
Major Arterial,North York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D33
Major Arterial,North York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,60 to 64,Major,South,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Inattentive,D33
Major Arterial,North York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D33
Major Arterial,North York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,Minimal,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D33
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,55 to 59,Major,East,Motorcycle,Going Ahead,Following too Close,Inattentive,D52
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,Major,West,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,D52
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,55 to 59,Major,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,West,Other,Going Ahead,Driving Properly,Normal,D23
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,South,Other,Going Ahead,Driving Properly,Normal,D42
Major Arterial,Etobicoke York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D12
Major Arterial,Etobicoke York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,60 to 64,Major,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D12
Major Arterial,Etobicoke York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,55 to 59,Minor,East,Other,Going Ahead,Driving Properly,Normal,D12
Major Arterial,Etobicoke York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,45 to 49,Minor,West,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Inattentive,D12
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Passenger,40 to 44,Minimal,East,Other,Going Ahead,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,Minor,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,Minor,North,"Automobile, Station Wagon",Going Ahead,Lost control,Had Been Drinking,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,50 to 54,Major,North,Other,Stopped,Driving Properly,Normal,D42
Major Arterial,North York,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D32
Major Arterial,North York,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Truck Driver,35 to 39,Major,South,Truck - Open,Turning Left,Failed to Yield Right of Way,Normal,D32
Major Arterial,North York,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,North,Other,Going Ahead,Driving Properly,Normal,D32
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,35 to 39,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,30 to 34,Minor,North,"Automobile, Station Wagon",Pulling Onto Shoulder or towardCurb,Lost control,Unknown,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,50 to 54,Major,South,Motorcycle,Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,75 to 79,Major,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,D41
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dusk,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Major,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dusk,Dry,Non-Fatal Injury,Turning Movement,Passenger,30 to 34,Minimal,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dusk,Dry,Non-Fatal Injury,Turning Movement,Driver,30 to 34,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Dusk,Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,Minimal,West,"Automobile, Station Wagon",Turning Left,Improper Turn,Inattentive,D14
Major Arterial,North York,At Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Driver,80 to 84,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D32
Major Arterial,North York,At Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Driver,45 to 49,Major,East,"Automobile, Station Wagon",Stopped,Following too Close,Inattentive,D32
Major Arterial,North York,At Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Driver,unknown,Major,East,"Automobile, Station Wagon",Unknown,Driving Properly,Unknown,D32
Collector,Scarborough,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,Major,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,D43
Collector,Scarborough,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,15 to 19,Major,East,Bicycle,Going Ahead,Driving Properly,Normal,D43
Minor Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,Major,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,D22
Minor Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,West,Other,Going Ahead,Driving Properly,Normal,D22
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,30 to 34,Minor,East,Other,Going Ahead,Driving Properly,Normal,D52
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,Major,South,"Automobile, Station Wagon",Making U Turn,Disobeyed Traffic Control,Inattentive,D52
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D52
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Major,South,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,D52
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,Major,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,D55
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,70 to 74,Major,North,Other,Going Ahead,Driving Properly,Normal,D55
Minor Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,80 to 84,Major,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,D22
Minor Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,East,Other,Going Ahead,Driving Properly,Normal,D22
Local,Etobicoke York,At Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Local,Etobicoke York,At Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Driver,55 to 59,Fatal,East,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Unknown,D23
Major Arterial,Scarborough,At Intersection,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Driver,80 to 84,Major,West,"Automobile, Station Wagon",Changing Lanes,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,South,Other,Going Ahead,Driving Properly,Normal,D42
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,Major,South,"Automobile, Station Wagon",Changing Lanes,Exceeding Speed Limit,Unknown,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,50 to 54,Major,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,North York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,65 to 69,Major,North,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Normal,D32
Major Arterial,North York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,North,Other,Going Ahead,Driving Properly,Normal,D32
Major Arterial,Scarborough,At Intersection,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D43
Major Arterial,Scarborough,At Intersection,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D43
Major Arterial,Scarborough,At Intersection,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,Major,North,Other,Going Ahead,Driving Properly,Normal,D43
Major Arterial,North York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,85 to 89,Major,South,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,D33
Major Arterial,North York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,Major,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D33
Major Arterial,North York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,unknown,Minor,East,Other,Other,Driving Properly,Normal,D32
Major Arterial,North York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,Major,East,Other,Other,Driving Properly,Normal,D32
Major Arterial,North York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,25 to 29,Major,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D32
Minor Arterial,North York,At Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Passenger,10 to 14,Minimal,East,Other,Going Ahead,Driving Properly,Normal,D32
Minor Arterial,North York,At Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Passenger,40 to 44,Major,East,Other,Going Ahead,Driving Properly,Normal,D32
Minor Arterial,North York,At Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Driver,40 to 44,Minor,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D32
Minor Arterial,North York,At Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Driver,25 to 29,Major,South,"Automobile, Station Wagon",Going Ahead,Following too Close,Normal,D32
Collector,Etobicoke York,At Intersection,No Control,Rain,Daylight,Wet,Fatal,Approaching,Passenger,80 to 84,Fatal,East,Other,Going Ahead,Driving Properly,Normal,D23
Collector,Etobicoke York,At Intersection,No Control,Rain,Daylight,Wet,Fatal,Approaching,Passenger,80 to 84,Fatal,East,Other,Going Ahead,Driving Properly,Normal,D23
Collector,Etobicoke York,At Intersection,No Control,Rain,Daylight,Wet,Fatal,Approaching,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Collector,Etobicoke York,At Intersection,No Control,Rain,Daylight,Wet,Fatal,Approaching,Driver,70 to 74,Major,North,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",D23
Collector,Etobicoke York,At Intersection,No Control,Rain,Daylight,Wet,Fatal,Approaching,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Collector,Etobicoke York,At Intersection,No Control,Rain,Daylight,Wet,Fatal,Approaching,Driver,55 to 59,Major,South,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,D23
Major Arterial,North York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D32
